iter	Passed	Remaining
0	0	67
1	1	62
2	2	66
3	2	62
4	3	63
5	3	62
6	4	61
7	5	60
8	5	59
9	6	58
10	7	57
11	7	56
12	8	55
13	8	54
14	9	53
15	10	53
16	10	52
17	11	51
18	11	50
19	12	49
20	13	48
21	13	48
22	14	47
23	14	46
24	15	45
25	15	45
26	16	44
27	17	44
28	17	43
29	18	42
30	18	41
31	19	41
32	19	40
33	20	39
34	21	39
35	21	38
36	22	38
37	22	37
38	23	36
39	24	36
40	25	36
41	25	35
42	26	34
43	27	34
44	28	34
45	28	33
46	29	33
47	30	32
48	30	31
49	31	31
50	31	30
51	32	29
52	33	29
53	33	28
54	34	27
55	34	27
56	36	27
57	37	27
58	37	26
59	38	25
60	39	25
61	39	24
62	40	23
63	41	23
64	41	22
65	42	21
66	42	21
67	43	20
68	44	19
69	44	19
70	45	18
71	45	17
72	46	17
73	47	16
74	47	15
75	48	15
76	48	14
77	49	13
78	50	13
79	50	12
80	51	11
81	51	11
82	52	10
83	52	10
84	53	9
85	54	8
86	54	8
87	55	7
88	55	6
89	56	6
90	56	5
91	57	4
92	58	4
93	58	3
94	59	3
95	59	2
96	60	1
97	61	1
98	61	0
99	62	0
